Devices,Mix,Concurrency,WaveS,p50_sts,p95_sts,p99_sts,Max_sts,QueueMax,MongoOpsPerS,MongoP95Ms,Overlap,Result,Bottleneck
250,all_up,30,6.239,,,,,2,81.1,0.5827000131830573,0,PASS,none
250,all_up,40,6.239,,,,,2,81.1,0.5827000131830573,0,PASS,none
250,half,30,15.724,,,,,5,40.0,16.964800015557557,0,PASS,none
250,half,40,15.724,,,,,5,40.0,16.964800015557557,0,PASS,none
250,all_down,30,27.932,,,,,2,20.5,14.35219999984838,0,PASS,none
250,all_down,40,27.932,,,,,2,20.5,14.35219999984838,0,PASS,none
250,slow,30,10.151,,,,,5,52.6,15.97599999513477,0,PASS,none
250,slow,40,10.151,,,,,5,52.6,15.97599999513477,0,PASS,none
500,all_up,30,13.752,,,,,6,71.3,2.456899994285777,0,PASS,none
500,all_up,40,13.752,,,,,6,71.3,2.456899994285777,0,PASS,none
500,half,30,32.746,,,,,4,37.7,85.76139999786392,0,PASS,none
500,half,40,32.746,,,,,4,37.7,85.76139999786392,0,PASS,none
500,all_down,30,52.486,,,,,2,22.0,16.285499994410202,0,PASS WITH LIMITED HEADROOM,limited_headroom
500,all_down,40,40.478,,,,,1,27.6,18.510099995182827,0,PASS,none
500,slow,30,23.802,,,,,2,44.7,57.70420000771992,0,PASS,none
500,slow,40,23.802,,,,,2,44.7,57.70420000771992,0,PASS,none
750,all_up,30,33.981,,,,,8,45.0,3.670700010843575,0,PASS,none
750,all_up,40,33.981,,,,,8,45.0,3.670700010843575,0,PASS,none
750,half,30,42.834,,,,,6,44.1,73.09279998298734,0,PASS WITH LIMITED HEADROOM,limited_headroom
750,half,40,31.974,,,,,4,55.5,33.96440000506118,0,PASS,none
750,all_down,30,180.013,58737.36596107483,60930.17673492432,61558.446168899536,62436.58661842346,4,22.2,86.47650000057183,0,FAIL,incomplete_wave
750,all_down,40,60.826,58984.97748374939,60680.62210083008,60683.637619018555,60683.637619018555,9,27.3,49.33409998193383,0,FAIL,wave_exceeds_interval
750,slow,30,14.359,,,,,7,114.6,50.874700013082474,0,PASS,none
750,slow,40,14.359,,,,,7,114.6,50.874700013082474,0,PASS,none
1000,all_up,30,16.597,,,,,2,122.7,3.4897000005003065,0,PASS,none
1000,all_up,40,16.597,,,,,2,122.7,3.4897000005003065,0,PASS,none
1000,half,30,55.926,,,,,3,45.5,66.36880000587553,0,PASS WITH LIMITED HEADROOM,limited_headroom
1000,half,40,42.359,,,,,4,56.2,52.11439999402501,0,PASS WITH LIMITED HEADROOM,limited_headroom
1000,all_down,30,180.010,60041.75901412964,61850.162744522095,62704.65040206909,63042.95039176941,3,21.8,73.78520001657307,0,FAIL,incomplete_wave
1000,all_down,40,180.036,59709.22064781189,61290.851354599,62012.481451034546,62079.03218269348,6,28.8,62.06470000324771,0,FAIL,incomplete_wave
1000,slow,30,17.960,,,,,9,123.3,61.39670000993647,0,PASS,none
1000,slow,40,17.960,,,,,9,123.3,61.39670000993647,0,PASS,none
